ts_code,pe_ttm
600099.SH,131.0269
600100.SH,2071.4996
600101.SH,28.6779
600103.SH,55.5077
600104.SH,101.8222
600106.SH,41.2148
600107.SH,
600105.SH,40.086
600108.SH,60.9322
600109.SH,18.2867
600110.SH,
600111.SH,101.1438
600113.SH,98.5264
600115.SH,
600114.SH,35.3388
600116.SH,44.1703
600117.SH,
600118.SH,1414.3387
600119.SH,
600120.SH,19.6914
600121.SH,26.805
600127.SH,474.4884
600126.SH,
600123.SH,16.4266
600128.SH,78.8937
600125.SH,20.9168
600129.SH,
600130.SH,670.1641
600135.SH,
600131.SH,29.5192
600133.SH,19.9929
600137.SH,69.7178
600136.SH,
600132.SH,23.5221
600138.SH,45.8722
600141.SH,17.8352
600143.SH,37.0814
600149.SH,24.2783
600148.SH,
600150.SH,40.1798
600152.SH,
600151.SH,
600153.SH,10.1278
600155.SH,4495.329
600156.SH,
600158.SH,539.1421
600157.SH,27.6294
600159.SH,
600160.SH,31.259
600161.SH,27.7526
600162.SH,385.3172
600163.SH,14.9833
600165.SH,
600167.SH,19.6786
600166.SH,81.5907
600168.SH,69.2461
600169.SH,42.7134
600170.SH,10.5697
600171.SH,61.425
600172.SH,
600177.SH,12.9755
600173.SH,170.0501
600178.SH,420.9637
600179.SH,17.176
600176.SH,17.43
600180.SH,
600182.SH,35.6951
600183.SH,50.6396
600184.SH,
600186.SH,43.517
600187.SH,120.8681
600185.SH,
600188.SH,10.0763
600189.SH,307.8479
600191.SH,113.6271
600192.SH,
600193.SH,
600197.SH,26.0649
600195.SH,132.6089
600196.SH,24.0757
600198.SH,416.2961
600199.SH,
600200.SH,
600201.SH,119.1365
600202.SH,
600203.SH,
600206.SH,75.6939
600207.SH,
600208.SH,32.8306
600210.SH,11.6759
600211.SH,13.4218
600212.SH,485.4269
600217.SH,436.2479
600215.SH,
600218.SH,45.6795
600216.SH,10.2425
600219.SH,8.4202
600221.SH,
600222.SH,123.173
600223.SH,36.4357
600227.SH,
600226.SH,43.1672
600228.SH,
600229.SH,76.5852
600230.SH,350.1228
600231.SH,
600232.SH,271.7936
600233.SH,14.7665
600234.SH,49.0144
600235.SH,52.4579
600237.SH,48.9167
600236.SH,21.245
600239.SH,
600238.SH,
600241.SH,130.8449
600243.SH,
600246.SH,
600249.SH,47.4167
600248.SH,5.2167
600250.SH,112.1919
600252.SH,
600255.SH,115.0156
600251.SH,43.1198
600256.SH,12.3917
600257.SH,
600258.SH,18.8559
600259.SH,392.2016
600261.SH,21.7012
600265.SH,
600266.SH,
600262.SH,20.9786
600267.SH,24.4426
600268.SH,26.5073
600269.SH,9.1899
600271.SH,
600272.SH,186.0915
600273.SH,11.5723
600276.SH,59.1674
600278.SH,32.6684
600279.SH,12.854
600280.SH,
600281.SH,
600282.SH,12.3557
600284.SH,12.1815
600285.SH,17.4907
600283.SH,23.4671
600287.SH,55.4179
600289.SH,
600288.SH,
600292.SH,212.8816
600293.SH,
600295.SH,14.784
600298.SH,22.3272
600299.SH,19.4562
600300.SH,15.6092
600302.SH,
600301.SH,21.0553
600303.SH,
600305.SH,67.8616
600307.SH,
600308.SH,
600309.SH,15.9171
600313.SH,132.3972
600310.SH,
600312.SH,18.8858
600316.SH,793.6641
600315.SH,
600318.SH,141.1285
600319.SH,
600320.SH,39.8314
600322.SH,
600323.SH,12.9125
600325.SH,16.6625
600326.SH,
600327.SH,77.7949
600329.SH,13.8782
600328.SH,89.1686
600332.SH,16.073
600331.SH,4983.1855
600330.SH,105.9139
600333.SH,
600335.SH,23.942
600336.SH,
600337.SH,
600338.SH,28.1283
600345.SH,51.086
600339.SH,33.4547
600340.SH,
600343.SH,
600346.SH,15.4442
600348.SH,13.7517
600350.SH,14.5929
600351.SH,22.5585
600352.SH,15.4442
600353.SH,112.869
600354.SH,49.0948
600355.SH,
600356.SH,22.5091
600358.SH,
600359.SH,260.9629
600360.SH,50.1711
600362.SH,11.4611
600361.SH,17.8691
600363.SH,100.0178
600365.SH,
600366.SH,119.9824
600367.SH,46.6088
600368.SH,10.54
600370.SH,
600369.SH,42.4486
600372.SH,89.0391
600371.SH,68.9624
600373.SH,20.8529
600375.SH,47.197
600376.SH,
600377.SH,14.6186
600378.SH,30.5534
600379.SH,46.8153
600380.SH,16.2229
600381.SH,
600382.SH,153.439
600386.SH,196.7147
600383.SH,
600392.SH,69.3003
600389.SH,31.8428
600395.SH,
600391.SH,141.3672
600388.SH,18.8195
600390.SH,103.9496
600396.SH,48.1344
600397.SH,
600405.SH,
600398.SH,15.0154
600399.SH,
600400.SH,
600403.SH,
600783.SH,34.0512
600782.SH,68.4336
600785.SH,21.6537
600784.SH,15.2233
600790.SH,48.6491
600787.SH,67.7847
600789.SH,22.6491
600791.SH,
600792.SH,
600793.SH,
600794.SH,33.1502
600795.SH,8.4139
600797.SH,
600796.SH,32.6315
600798.SH,18534.0435
600800.SH,
600801.SH,13.6878
600802.SH,
600803.SH,13.3578
600805.SH,176.0153
600807.SH,
600808.SH,
600810.SH,
600809.SH,17.3053
600812.SH,68.3893
600814.SH,26.8974
600815.SH,738.1425
600818.SH,
600816.SH,491.7624
600817.SH,27.0866
600819.SH,39.9551
600820.SH,7.7356
600821.SH,15.8633
600822.SH,114.4857
600824.SH,271.8268
600825.SH,187.8982
600826.SH,27.9644
600827.SH,11.4156
600828.SH,
600829.SH,26.8807
600830.SH,89.2523
600831.SH,
600833.SH,22.6394
600834.SH,89.0564
600835.SH,28.9121
600838.SH,78.5175
600839.SH,51.9584
600841.SH,
600843.SH,
600844.SH,
600845.SH,33.2385
600847.SH,
600846.SH,15.366
600850.SH,31.3318
600848.SH,21.75
600851.SH,55.4336
600853.SH,9.66
600857.SH,
600854.SH,21.2247
600855.SH,
600858.SH,60.7154
600860.SH,3400.9054
600859.SH,127.9334
600861.SH,10.2687
600864.SH,44.6272
600865.SH,30.0282
600863.SH,12.6546
600862.SH,31.6224
600866.SH,11.3155
600868.SH,
600869.SH,
600867.SH,
600871.SH,57.5061
600872.SH,17.5364
600873.SH,10.4818
600875.SH,21.6993
600876.SH,
600874.SH,11.5692
600877.SH,243.1209
600879.SH,85.9101
600882.SH,90.0199
600883.SH,37.5351
600880.SH,382.7118
600881.SH,
600885.SH,20.5606
600884.SH,
600886.SH,18.1264
600887.SH,23.3224
600888.SH,9.8115
600893.SH,154.713
600892.SH,
600889.SH,
600894.SH,10.7688
600895.SH,46.2795
600897.SH,14.2896
600906.SH,35.4171
600905.SH,20.1245
600900.SH,19.9803
600903.SH,251.0793
600901.SH,11.4976
600908.SH,5.934
600909.SH,15.8495
600916.SH,23.4468
600925.SH,30.1139
600918.SH,48.849
600927.SH,43.888
600917.SH,23.9047
600919.SH,6.5619
600926.SH,6.3712
600928.SH,6.6978
600929.SH,60.1327
600930.SH,29.564
600933.SH,18.592
600935.SH,
600938.SH,9.2429
600939.SH,
600936.SH,
600941.SH,16.6934
600955.SH,
600956.SH,19.0512
600959.SH,45.1438
600958.SH,24.9694
600960.SH,
600961.SH,14.3308
600963.SH,63.522
600962.SH,109.9164
600965.SH,81.8922
600966.SH,52.8853
600968.SH,11.1176
600967.SH,76.5464
600970.SH,8.0519
600969.SH,
600973.SH,
600971.SH,12.6304
600975.SH,26.3732
600977.SH,
600976.SH,17.0542
600979.SH,27.3377
600980.SH,39.5937
600981.SH,43.137
600982.SH,17.7363
600983.SH,28.3705
600984.SH,
600985.SH,8.7456
600986.SH,53.2165
600989.SH,15.4477
600988.SH,24.0423
600987.SH,10.3536
600992.SH,
600990.SH,
600996.SH,
600993.SH,22.5214
600995.SH,25.132
600999.SH,14.89
600997.SH,14.874
600998.SH,9.1773
601000.SH,13.2594
601001.SH,9.3437
601002.SH,25.1545
601003.SH,
601005.SH,
601006.SH,15.4094
601007.SH,91.9174
601008.SH,44.0404
601009.SH,7.2994
601011.SH,
601010.SH,35.3113
601012.SH,
601015.SH,
601016.SH,15.2621
601019.SH,13.8559
601020.SH,65.9891
601018.SH,14.4267
601022.SH,22.1674
601021.SH,24.0587
601033.SH,16.9348
601059.SH,41.2609
601038.SH,17.6961
601065.SH,13.8771
601061.SH,15.1927
601058.SH,10.606
601068.SH,83.9147
601066.SH,25.3641
601069.SH,63.7585
601083.SH,12.5788
601089.SH,29.2005
601077.SH,6.6595
601096.SH,43.135
601086.SH,125.7595
601088.SH,13.6338
601098.SH,16.0173
601099.SH,107.4294
601100.SH,41.4976
601108.SH,17.4582
601101.SH,12.7904
601107.SH,11.2173
601106.SH,
601113.SH,9.0068
601111.SH,
601117.SH,8.5674
601121.SH,45.9583
601116.SH,36.6373
601118.SH,134.7957
601127.SH,31.965
601133.SH,34.3975
601126.SH,18.6083
601128.SH,6.3911
601136.SH,59.4023
601138.SH,29.95
601137.SH,10.8317
601156.SH,8.6765
601155.SH,43.5009
601139.SH,14.0378
601162.SH,134.3765
601158.SH,27.0848
601163.SH,11.5325
601168.SH,13.1804
601166.SH,6.3656
601187.SH,7.4473
601169.SH,5.3849
601179.SH,29.4371
601177.SH,32.8258
601186.SH,5.2242
601188.SH,28.249
601198.SH,23.6696
601212.SH,204.7003
601200.SH,18.4052
601211.SH,15.4804
601199.SH,12.9737
601208.SH,66.1882
601216.SH,14.5139
601218.SH,69.4634
601226.SH,59.3088
601229.SH,6.2707
601222.SH,18.1738
601225.SH,9.4699
601231.SH,23.4483
601236.SH,44.806
601228.SH,27.9815
601233.SH,24.0677
601279.SH,
601238.SH,
601288.SH,8.2798
601298.SH,10.9434
601319.SH,7.8129
601326.SH,11.9919
601311.SH,15.6851
601318.SH,9.118
601328.SH,7.2876
603937.SH,
603948.SH,17.2789
603949.SH,68.8229
603933.SH,108.8308
603938.SH,70.9846
603939.SH,18.4642
603950.SH,29.4602
603936.SH,
603958.SH,
603960.SH,97.5485
603955.SH,218.1551
603967.SH,15.713
603956.SH,
603966.SH,25.2788
603959.SH,
603968.SH,
603976.SH,77.5731
603970.SH,19.0661
603980.SH,94.834
603978.SH,
603969.SH,26.9472
603977.SH,45.8693
603979.SH,17.7053
603982.SH,
603983.SH,44.6195
603985.SH,
603989.SH,27.8723
603990.SH,
603987.SH,18.7083
603986.SH,68.2568
603991.SH,
603988.SH,452.3947
603992.SH,34.5371
603995.SH,8.4156
605001.SH,37.6281
605003.SH,31.8765
603993.SH,13.5534
603997.SH,
603999.SH,63.7938
603998.SH,17.6094
605005.SH,28.8985
605006.SH,
605009.SH,22.4674
605008.SH,693.483
605007.SH,20.155
605011.SH,44.178
605016.SH,28.8008
605018.SH,80.5662
605020.SH,39.2545
605028.SH,19.7019
605033.SH,129.1971
605055.SH,91.966
605050.SH,26.8286
605056.SH,26.1358
605060.SH,32.4889
605058.SH,28.4123
605066.SH,31.334
605068.SH,
605069.SH,
605077.SH,20.0703
605081.SH,
605080.SH,15.4899
605086.SH,39.613
605088.SH,26.6783
605089.SH,41.1995
605090.SH,11.4902
605098.SH,15.9006
605099.SH,22.5878
605100.SH,62.5417
605111.SH,30.8887
605108.SH,58.5556
605116.SH,24.2251
605117.SH,14.6872
605118.SH,69.6656
605122.SH,
605123.SH,33.4202
605136.SH,
605128.SH,52.8603
605138.SH,71.4797
605133.SH,53.4753
605151.SH,889.149
605155.SH,21.1855
605158.SH,24.1548
605162.SH,25.924
605166.SH,12.473
605167.SH,20.6803
605168.SH,47.1857
605169.SH,24.7046
605177.SH,
605178.SH,
605180.SH,69.6183
605179.SH,251.0224
605183.SH,15.2839
605186.SH,99.3054
605188.SH,
605189.SH,32.5885
605196.SH,41.4031
605198.SH,56.3056
605208.SH,102.5023
605199.SH,
605228.SH,3322.4495
605222.SH,54.5817
605218.SH,82.5728
605255.SH,106.3033
605258.SH,40.407
605259.SH,23.1393
605266.SH,30.9955
605268.SH,29.9721
605286.SH,23.2623
605277.SH,51.2035
605287.SH,
605288.SH,45.0425
605289.SH,
605296.SH,18.9437
605300.SH,149.9376
605303.SH,
605299.SH,45.2675
605298.SH,69.6914
605305.SH,23.2363
605318.SH,
605319.SH,21.7056
605333.SH,22.5554
605338.SH,17.9392
605339.SH,50.3712
605337.SH,21.4459
605336.SH,80.4387
605358.SH,
605365.SH,17.8309
605366.SH,
605368.SH,16.7131
605376.SH,91.741
605378.SH,46.6885
605377.SH,12.7451
605369.SH,30.0224
605389.SH,70.8182
605388.SH,
605398.SH,309.063
605399.SH,386.3514
605500.SH,21.3841
605499.SH,39.0095
605507.SH,15.4914
605488.SH,62.9873
605555.SH,20.3708
605566.SH,153.2362
605567.SH,89.4577
605577.SH,34.3563
605580.SH,31.9627
605599.SH,16.0588
605588.SH,
605589.SH,27.9069
605598.SH,73.0923
688001.SH,
688002.SH,53.7796
688003.SH,76.7078
688005.SH,73.5656
688007.SH,
688004.SH,
688006.SH,45.5324
688008.SH,61.0499
688009.SH,16.7196
688010.SH,594.5114
688011.SH,
688012.SH,73.0406
688013.SH,55.8563
688017.SH,436.9905
688015.SH,47.4577
688016.SH,30.5758
688018.SH,62.3566
688019.SH,41.1782
688020.SH,
688021.SH,
688022.SH,
688023.SH,
688025.SH,70.6327
688026.SH,35.3205
688027.SH,
688028.SH,38.6306
688030.SH,
688031.SH,
688029.SH,27.8134
688032.SH,50.0888
688033.SH,
688035.SH,53.975
688036.SH,22.4578
688037.SH,118.6888
688045.SH,
688041.SH,138.8251
688038.SH,
688039.SH,
688046.SH,60.8381
688047.SH,
688048.SH,
688049.SH,60.7884
688050.SH,39.5393
688052.SH,
688051.SH,
688053.SH,
688055.SH,
688056.SH,66.0646
688057.SH,25.9381
688058.SH,
688059.SH,47.9997
688062.SH,
688060.SH,
688061.SH,
688063.SH,
688065.SH,67.6746
688066.SH,
688067.SH,81.8018
688070.SH,
688069.SH,
688068.SH,
688071.SH,
688072.SH,86.781
688073.SH,42.2974
688075.SH,34.2178
688076.SH,29.9382
688077.SH,122.9138
688078.SH,83.3578
688079.SH,
688080.SH,25.8077
688081.SH,
688082.SH,35.9681
688083.SH,267.9971
688084.SH,
688085.SH,249.7062
688087.SH,18.1404
688089.SH,32.4082
688088.SH,100.593
688090.SH,362.9182
688091.SH,1425.9752
688092.SH,34.1706
688093.SH,29.7677
688095.SH,224.3189
688097.SH,34.565
688096.SH,
688098.SH,
688099.SH,33.7248
688100.SH,25.4897
688101.SH,15.357
688102.SH,99.2154
688103.SH,151.6915
688106.SH,51.2694
688107.SH,
688105.SH,
688108.SH,1385.0277
688109.SH,78.9831
688110.SH,
